Date / IST Hour,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
LST Approx,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00
Thu 14May2026,w,w,w,w,V26_006,V26_006,V26_004,V26_004,V26_004,w,b,b,b,b,b,w,w,P26_002,P26_002,P26_002,P26_002,I26_003,I26_003,I26_003
Fri 15May2026,w,w,w,w,w,w,w,w,w,white_res,white_res,w,w,CRAB,P26_001,P26_001,P26_001,P26_001,P26_001,P26_001,w,I26_003,I26_003,I26_003
Sat 16May2026,w,w,w,w,V26_006,V26_006,V26_004,V26_004,V26_004,w,V26_005,V26_005,V26_005,white_res,white_res,w,w,w,P26_002,P26_002,P26_002,P26_002,I26_003,I26_003
Sun 17May2026,I26_003,w,w,w,w,w,w,w,w,white_res,white_res,V26_005,V26_005,V26_005,P26_001,P26_001,P26_001,P26_001,P26_001,P26_001,w,w,w,w
Mon 18May2026,w,w,w,w,w,V26_004,V26_004,V26_004,w,w,w,white_res,white_res,CRAB,P26_001,P26_001,P26_001,P26_001,P26_001,P26_001,w,I26_003,I26_003,I26_003
Tue 19May2026,w,w,w,w,V26_006,V26_006,w,w,w,w,b,b,b,b,b,white_res,white_res,w,P26_002,P26_002,P26_002,P26_002,I26_003,I26_003
Wed 20May2026,I26_003,w,w,w,w,V26_004,V26_004,V26_004,w,w,V26_005,V26_005,V26_005,CRAB,P26_001,P26_001,P26_001,P26_001,P26_001,P26_001,w,w,I26_003,I26_003
Thu 21May2026,I26_003,w,w,w,w,w,V26_006,V26_006,w,w,b,b,b,b,b,white_res,white_res,w,P26_002,P26_002,P26_002,P26_002,I26_003,I26_003
Fri 22May2026,I26_003,w,w,w,V26_004,V26_004,V26_004,w,w,w,w,white_res,white_res,CRAB,P26_001,P26_001,P26_001,P26_001,P26_001,P26_001,w,w,I26_003,I26_003
Sat 23May2026,I26_003,w,w,w,w,V26_004,V26_004,V26_004,w,w,V26_005,V26_005,V26_005,white_res,white_res,w,w,P26_002,P26_002,P26_002,P26_002,I26_003,I26_003,I26_003
Sun 24May2026,w,w,w,w,V26_006,V26_006,w,w,w,white_res,white_res,V26_005,V26_005,V26_005,P26_001,P26_001,P26_001,P26_001,P26_001,P26_001,w,I26_003,I26_003,I26_003
Mon 25May2026,w,w,w,w,w,V26_004,V26_004,V26_004,w,w,w,white_res,white_res,CRAB,P26_001,P26_001,P26_001,P26_001,P26_001,P26_001,w,w,I26_003,I26_003
Tue 26May2026,I26_003,w,w,w,w,w,V26_006,V26_006,w,w,b,b,b,b,b,white_res,white_res,P26_002,P26_002,P26_002,P26_002,w,w,w
Wed 27May2026,w,w,w,w,w,V26_004,V26_004,V26_004,w,w,V26_005,V26_005,V26_005,white_res,white_res,w,CRAB,P26_002,P26_002,P26_002,P26_002,I26_003,I26_003,I26_003
